Altium Designer Pick and Place Locations
C:\Users\Thilo Wendt\Documents\altium\ultrazohm_digital_voltage_3U_1vxx\Project Outputs for ultrazohm_digital_voltage_3U_1vxx\2v01\PickAndPlace\PAP_UltraZohm_DigitalVoltage_RS422_to_3V3_input.txt

========================================================================================================================
File Design Information:

Date:       03.08.20
Time:       18:56
Revision:   8ccaac74cc4c2a90460197aa6e209c552a151c11
Variant:    RS422_to_3V3_input
Units used: mm

Designator Comment                      Layer       Footprint                    Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                            
R89        R_TF                         TopLayer    RESC_0603                    116.1000     80.8689      360      "Standard thick film resistor"                                                                                                                                         
R88        R_TF                         TopLayer    RESC_0603                    116.1000     83.9517      360      "Standard thick film resistor"                                                                                                                                         
R87        R_TF                         TopLayer    RESC_0603                    111.0000     85.5000      360      "Standard thick film resistor"                                                                                                                                         
R86        R_TF                         TopLayer    RESC_0603                    116.1000     87.0344      360      "Standard thick film resistor"                                                                                                                                         
R85        R_TF                         TopLayer    RESC_0603                    111.0000     88.6000      360      "Standard thick film resistor"                                                                                                                                         
R84        R_TF                         TopLayer    RESC_0603                    111.0000     91.7000      360      "Standard thick film resistor"                                                                                                                                         
R83        R_TF                         TopLayer    RESC_0603                    116.1000     90.1172      360      "Standard thick film resistor"                                                                                                                                         
R82        R_TF                         TopLayer    RESC_0603                    111.0000     94.8000      360      "Standard thick film resistor"                                                                                                                                         
R81        R_TF                         TopLayer    RESC_0603                    116.1000     93.1999      360      "Standard thick film resistor"                                                                                                                                         
R80        R_TF                         TopLayer    RESC_0603                    18.8000      77.8000      360      "Standard thick film resistor"                                                                                                                                         
R79        R_TF                         TopLayer    RESC_0603                    18.8000      75.9862      360      "Standard thick film resistor"                                                                                                                                         
R78        R_TF                         TopLayer    RESC_0603                    18.8000      74.1724      360      "Standard thick film resistor"                                                                                                                                         
R77        R_TF                         TopLayer    RESC_0603                    18.8000      72.3586      360      "Standard thick film resistor"                                                                                                                                         
R76        R_TF                         TopLayer    RESC_0603                    18.8000      70.5448      360      "Standard thick film resistor"                                                                                                                                         
R75        R_TF                         TopLayer    RESC_0603                    18.8000      68.7310      360      "Standard thick film resistor"                                                                                                                                         
R74        R_TF                         TopLayer    RESC_0603                    18.8000      66.9172      360      "Standard thick film resistor"                                                                                                                                         
R73        R_TF                         TopLayer    RESC_0603                    18.8000      65.1034      360      "Standard thick film resistor"                                                                                                                                         
R72        R_TF                         TopLayer    RESC_0603                    18.8250      63.2896      360      "Standard thick film resistor"                                                                                                                                         
R71        R_TF                         TopLayer    RESC_0603                    18.7250      61.4758      360      "Standard thick film resistor"                                                                                                                                         
R70        R_TF                         TopLayer    RESC_0603                    18.7250      59.6620      360      "Standard thick film resistor"                                                                                                                                         
R69        R_TF                         TopLayer    RESC_0603                    18.7250      57.8483      360      "Standard thick film resistor"                                                                                                                                         
R68        R_TF                         TopLayer    RESC_0603                    18.7250      56.0344      360      "Standard thick film resistor"                                                                                                                                         
R67        R_TF                         TopLayer    RESC_0603                    18.7250      54.2207      360      "Standard thick film resistor"                                                                                                                                         
R66        R_TF                         TopLayer    RESC_0603                    18.7250      52.4069      360      "Standard thick film resistor"                                                                                                                                         
R65        R_TF                         TopLayer    RESC_0603                    18.7250      50.5931      360      "Standard thick film resistor"                                                                                                                                         
R64        R_TF                         TopLayer    RESC_0603                    18.8000      48.7793      360      "Standard thick film resistor"                                                                                                                                         
R63        R_TF                         TopLayer    RESC_0603                    18.8000      46.9655      360      "Standard thick film resistor"                                                                                                                                         
R62        R_TF                         TopLayer    RESC_0603                    18.8000      45.1516      360      "Standard thick film resistor"                                                                                                                                         
