Altium Designer Pick and Place Locations
C:\Users\Thilo Wendt\Documents\altium\ultrazohm_digital_voltage_3U_1vxx\Project Outputs for ultrazohm_digital_voltage_3U_1vxx\2v01\PickAndPlace\PAP_UltraZohm_DigitalVoltage_3V3_to_15V_output.txt

========================================================================================================================
File Design Information:

Date:       14.08.20
Time:       12:09
Revision:   90a20ab119588014876faea234f2b3c666ad71d8
Variant:    3V3_to_15V_output
Units used: mm

Designator Layer    Footprint           Center-X(mm) Center-Y(mm) Rotation Value             
U6B        TopLayer TI_DL-R-PDSO-G48_N  18.8080      60.8180      180      SN74LVCH16T245DLR 
U6A        TopLayer TI_DL-R-PDSO-G48_N  18.7960      42.5300      180      SN74LVCH16T245DLR 
R19B       TopLayer RESC_0603           12.9500      70.4000      180      5k6               
R19A       TopLayer RESC_0603           11.1000      50.1500      180      5k6               
R17B       TopLayer RESC_0603           24.9500      70.4000      360      5k6               
R17A       TopLayer RESC_0603           26.4000      50.0500      360      5k6               
R18B       TopLayer RESC_0603           11.1000      52.9000      360      5k6               
R18A       TopLayer RESC_0603           12.8500      32.3000      360      5k6               
R16B       TopLayer RESC_0603           26.4000      51.6500      180      5k6               
R16A       TopLayer RESC_0603           25.6500      32.3000      180      5k6               
U5         TopLayer R78C1510            22.6000      88.0000      360      R-78C15-1.0       
C21        TopLayer CAPC_0603           31.5000      93.4000      270      100n              
C20        TopLayer CAPC_0603           35.3000      93.4000      270      100n              
C19        TopLayer CAPC_0603           12.2900      93.5800      270      100n              
C18        TopLayer CAPC_0603           8.4800       93.5800      270      100n              
C22        TopLayer CAPAE9583X66N       34.5380      84.1900      270      47u               
C17        TopLayer CAPAE9583X66N       9.9000       84.1900      270      47u               
